post_id,url,post_date,post_type,is_urgent,seller_type,property_type,project_name,price,price_per_m2,area,area_used,floors,bedrooms,bathrooms,frontage,acces_road,house_direction,balcony_direction,floors_apartment,year_built,address_full,street,ward,district,city,legal_status,furniture_state,has_garage,has_pool,has_elevator,has_security,has_parking,management_fee,has_swimming_pool,has_gym,has_supermarket,building_density,crawled_at,source
44774457,https://batdongsan.com.vn/ban-can-ho-chung-cu-hung-phuc-premier-phuong-tan-my-tp-ho-chi-minh/hot-ban-gap-phu-dt-80m-gia-tot-8-6-ty-tl-lh-pr44774457,02/03/2026,Tin thường,False,Mỹ Chi,"Hot - bán gấp căn hộ Hưng Phúc Premier, Phú Mỹ Hưng. DT: 80m2. Giá tốt: 8.6 tỷ TL. LH:0918 998 ***",,8600.0,107.5,80.0,,,,,,,,,,,"Hồ Chí Minh, Tân Mỹ, Căn hộ chung cư tại Hưng Phúc Premier",,Hồ Chí Minh,Tân Mỹ,Căn hộ chung cư tại Hưng Phúc Premier,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,True,False,,False,False,True,,2026-03-18 16:29:11,can_ho_hcm
44698653,https://batdongsan.com.vn/ban-can-ho-chung-cu-park-view-phuong-tan-my-tp-ho-chi-minh/ban-nguyen-duc-canh-phu-hung-q7-dt-103m-gia-tot-10-ty-lh-pr44698653,02/03/2026,Tin thường,False,Mỹ Chi,"Bán căn hộ Park View Nguyễn Đức Cảnh, Phú Mỹ Hưng, Q7. DT: 103m2. Giá tốt 10 tỷ. LH:0918 998 ***",,10000.0,97.0874,103.0,,,3.0,2.0,,,,Đông - Nam,,,"Hồ Chí Minh, Tân Mỹ, Căn hộ chung cư tại Park View",,Hồ Chí Minh,Tân Mỹ,Căn hộ chung cư tại Park View,Sổ đỏ/ Sổ hồng,Đầy đủ,False,True,False,False,False,,True,True,True,,2026-03-18 16:29:26,can_ho_hcm
44751873,https://batdongsan.com.vn/ban-can-ho-chung-cu-the-panorama-phuong-tan-hung-sg-tp-ho-chi-minh/ban-cao-cap-phu-my-dt-143m-gia-tot-18-7-ty-lh-pr44751873,02/03/2026,Tin thường,False,Mỹ Chi,Bán căn hộ cao cấp The Panorama  Phú Mỹ Hưng. DT: 143m. Giá tốt: 18.7 tỷ. LH:0918 998 ***,,18700.0,130.7692,143.0,,,2.0,,,,,,,,"Hồ Chí Minh, Tân Hưng, Căn hộ chung cư tại The Panorama",,Hồ Chí Minh,Tân Hưng,Căn hộ chung cư tại The Panorama,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,False,False,,False,False,True,,2026-03-18 16:29:37,can_ho_hcm
44698872,https://batdongsan.com.vn/ban-can-ho-chung-cu-grand-view-phuong-tan-hung-sg-tp-ho-chi-minh/ban-phu-my-q7-dt-117m-gia-tot-11-ty-lh-pr44698872,02/03/2026,Tin thường,False,Mỹ Chi,"Bán căn hộ Grand View Phú Mỹ Hưng, Q7 . DT: 117m. Giá tốt 11 tỷ. LH:0918 998 ***",,11000.0,94.0171,117.0,,,3.0,,,,,,,,"Hồ Chí Minh, Tân Hưng, Căn hộ chung cư tại Grand View",,Hồ Chí Minh,Tân Hưng,Căn hộ chung cư tại Grand View,Sổ đỏ/ Sổ hồng,Đầy đủ,False,True,False,False,False,,True,True,True,,2026-03-18 16:29:51,can_ho_hcm
44764682,https://batdongsan.com.vn/ban-can-ho-chung-cu-scenic-valley-1-phuong-tan-my-tp-ho-chi-minh/1-phu-hung-view-boi-cuc-dep-dt-110m-gia-tot-10-5-ty-lh-pr44764682,02/03/2026,Tin thường,False,Mỹ Chi,"Căn hộ Scenic 1, Phú Mỹ Hưng  View hồ bơi cực đẹp. DT: 110m. Giá Tốt: 10.5 tỷ. LH:0918 998 ***",,10500.0,95.4545,110.0,,,3.0,,,,,,,,"Hồ Chí Minh, Tân Mỹ, Căn hộ chung cư tại Scenic Valley 1",,Hồ Chí Minh,Tân Mỹ,Căn hộ chung cư tại Scenic Valley 1,Sổ đỏ/ Sổ hồng,Đầy đủ,False,True,False,False,False,,True,False,True,,2026-03-18 16:30:03,can_ho_hcm
45213167,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-soho-the-global-city-phuong-binh-trung-tp-ho-chi-minh/ban-5pn-4wc-tai-46-ty-95m2-pr45213167,02/03/2026,Tin thường,False,Trần Ngọc Khánh,"Bán shophouse 5PN, 4WC tại SOHO - The Global City, 46 tỷ, 95m2",,46000.0,484.2105,95.0,,4.0,5.0,4.0,5.0,10.0,Tây - Bắc,Tây - Bắc,,,"Hồ Chí Minh, Bình Trưng, Shophouse, nhà phố thương mại tại SOHO - The Global City",,Hồ Chí Minh,Bình Trưng,"Shophouse, nhà phố thương mại tại SOHO - The Global City",Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,False,False,,False,False,True,,2026-03-18 16:30:18,can_ho_hcm
44698988,https://batdongsan.com.vn/ban-can-ho-chung-cu-midtown-phu-my-hung-phuong-tan-my-tp-ho-chi-minh/ban-q7-dt-81m-gia-tot-10-ty-lh-pr44698988,02/03/2026,Tin thường,False,Mỹ Chi,"Bán căn hộ Midtown  Phú Mỹ Hưng, Q7. DT: 81m. Giá tốt 10 tỷ. LH:0918 998 ***",,11000.0,135.8025,81.0,,,2.0,,,,,,,,"Hồ Chí Minh, Tân Mỹ, Căn hộ chung cư tại Midtown Phú Mỹ Hưng",,Hồ Chí Minh,Tân Mỹ,Căn hộ chung cư tại Midtown Phú Mỹ Hưng,Sổ đỏ/ Sổ hồng,Đầy đủ,False,True,False,False,False,,True,True,True,,2026-03-18 16:30:28,can_ho_hcm
44804167,https://batdongsan.com.vn/ban-dat-duong-nguyen-duy-trinh-phuong-binh-trung-tp-ho-chi-minh/chinh-chu-ban-kdc-dang-gia-phat-ngay-do-xuan-hop-5x29-pr44804167,02/03/2026,Tin thường,False,Ton Pham,"Bán đất KDC Đặng Gia Phát, Ngay Đỗ Xuân Hợp - Nguyễn Duy Trinh 5x29",,14000.0,96.5517,145.0,,,,,5.0,16.0,Bắc,,,,"Hồ Chí Minh, Bình Trưng, Bán đất tại đường Nguyễn Duy Trinh",,Hồ Chí Minh,Bình Trưng,Bán đất tại đường Nguyễn Duy Trinh,Sổ đỏ/ Sổ hồng,,False,False,False,False,False,,False,False,True,,2026-03-18 16:30:38,can_ho_hcm
45211200,https://batdongsan.com.vn/ban-nha-mat-pho-duong-dk9-phuong-thoi-hoa-tp-ho-chi-minh/ban-2-tang-thua-3210-dt-150m2-tai-hcm-pr45211200,02/03/2026,Tin thường,False,Công Ty Quản Lý Nợ Và Ktts Ngân Hàng Quốc Tế,"Bán nhà 2 tầng thửa 3210 DT 150m2 tại phường Thới Hòa, Tp HCM",,2630.0,17.5333,150.0,,2.0,2.0,2.0,5.0,16.0,Đông,,,,"Hồ Chí Minh, Thới Hòa, Nhà mặt phố tại đường DK9",,Hồ Chí Minh,Thới Hòa,Nhà mặt phố tại đường DK9,Sổ đỏ/ Sổ hồng,Không nội thất,False,False,False,False,False,,False,False,True,,2026-03-18 16:30:47,can_ho_hcm
45211336,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-tao-xa-hiep-phuoc-tp-ho-chi-minh/pho-3-tang-hem-xe-tai-20m-gan-kcn-hop-o-cho-thue-so-hong-9-5-ty-pr45211336,02/03/2026,Tin thường,False,Dung Cao Thị Ngọc,"Nhà phố cao cấp 3 tầng, hẻm xe tải 20m, gần KCN Hiệp Phước, hợp ở/cho thuê, Sổ hồng, 11,5 tỷ",,11500.0,43.8931,262.0,,3.0,4.0,6.0,5.0,20.0,Đông,Đông,,,"Hồ Chí Minh, Hiệp Phước, Nhà riêng tại đường Nguyễn Văn Tạo",,Hồ Chí Minh,Hiệp Phước,Nhà riêng tại đường Nguyễn Văn Tạo,Sổ đỏ/ Sổ hồng,Cơ bản,False,False,False,False,False,,False,False,True,,2026-03-18 16:31:07,can_ho_hcm
