post_id,url,post_date,post_type,is_urgent,seller_type,property_type,project_name,price,price_per_m2,area,area_used,floors,bedrooms,bathrooms,frontage,acces_road,house_direction,balcony_direction,floors_apartment,year_built,address_full,street,ward,district,city,legal_status,furniture_state,has_garage,has_pool,has_elevator,has_security,has_parking,management_fee,has_swimming_pool,has_gym,has_supermarket,building_density,crawled_at,source
45237476,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-pho-ton-duc-thang-phuong-van-mieu-quoc-tu-giam-tp-ha-noi/sieu-pham-chdv-uc-ong-a-85m-8t-may-24pn-khep-kin-full-o-100tr-thang-pr45237476,05/03/2026,Tin thường,False,Hữu Công,SIÊU PHẨM CHDV PHỐ Tôn Đức Thắng - ĐỐNG ĐA - 85m*8T thang máy - 24PN khép kín full đồ - 100tr/thang,,1140.0,13.4118,85.0,,,24.0,24.0,,,,,,,"Hà Nội, Văn Miếu-Quốc Tử Giám, Chung cư mini, căn hộ dịch vụ tại phố Tôn Đức Thắng",,Hà Nội,Văn Miếu-Quốc Tử Giám,"Chung cư mini, căn hộ dịch vụ tại phố Tôn Đức Thắng",Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,True,False,False,,False,False,True,,2026-03-08 16:37:02,can_ho_hn
45230974,https://batdongsan.com.vn/ban-can-ho-chung-cu-flc-landmark-tower-phuong-cau-giay-tp-ha-noi/ban-gap-du-an-le-uc-tho-159m2-4n2wc-re-nhat-du-an-lh-0977146928-pr45230974,04/03/2026,Tin thường,False,Phạm Minh Chính,Cần bán gấp dự án FLC Lê Đức Thọ 159m2 4N2WC rẻ nhất dự án Lh:0977 146 ***,,10650.0,66.9811,159.0,,,4.0,2.0,,,Tây - Bắc,Đông - Nam,,,"Hà Nội, Cầu Giấy, Căn hộ chung cư tại FLC Landmark Tower",,Hà Nội,Cầu Giấy,Căn hộ chung cư tại FLC Landmark Tower,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,False,False,,False,False,True,,2026-03-08 16:37:18,can_ho_hn
38266007,https://batdongsan.com.vn/ban-can-ho-chung-cu-sdu-143-tran-phu-phuong-thanh-liet-tp-ha-noi/ban-gap-da-co-so-143-70m2-2-ngu-2-ve-sinh-pr38266007,23/02/2026,Tin thường,False,Nguyễn Nguyễn,"Bán gấp căn hộ, SDU 143 Trần Phú, 55m2, 2 phòng ngủ 2 vệ sinh, giá rẻ",,3000.0,54.5455,55.0,,,2.0,2.0,,,,,,,"Hà Nội, Thanh Liệt, Căn hộ chung cư tại SDU - 143 Trần Phú",,Hà Nội,Thanh Liệt,Căn hộ chung cư tại SDU - 143 Trần Phú,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,False,False,,False,True,True,,2026-03-08 16:37:33,can_ho_hn
45229011,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-ho-dac-di-phuong-dong-da-tp-ha-noi/vip-tien-ac-92m-7t-22pn-khep-kin-full-that-120tr-thang-nha-moi-thang-may-pr45229011,04/03/2026,Tin thường,False,Hữu Công,VIP dòng tiền Hồ Đắc Di 92m*7T - 22PN khép kín full nội thất - 120tr/tháng - Nhà mới thang máy,,1500.0,16.3043,92.0,,,,,,,,,,,"Hà Nội, Đống Đa, Chung cư mini, căn hộ dịch vụ tại đường Hồ Đắc Di",,Hà Nội,Đống Đa,"Chung cư mini, căn hộ dịch vụ tại đường Hồ Đắc Di",,,False,False,True,False,False,,False,False,True,,2026-03-08 16:37:47,can_ho_hn
45252100,https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-phuong-liet-tp-ha-noi/ban-gap-192-296-8-5-ty-40m2-5pn-3wc-pr45252100,07/03/2026,Tin thường,False,Chu Lực,"Bán gấp nhà riêng 192/296 Lê Trọng Tấn, 8,5 tỷ, 40m2, 5PN, 3WC",,8500.0,212.5,40.0,,4.0,5.0,3.0,3.5,3.0,Đông - Nam,Đông - Nam,,,"Hà Nội, Phương Liệt, Nhà riêng tại đường Lê Trọng Tấn",,Hà Nội,Phương Liệt,Nhà riêng tại đường Lê Trọng Tấn,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,False,False,,False,False,True,,2026-03-08 16:38:00,can_ho_hn
44971045,https://batdongsan.com.vn/ban-can-ho-chung-cu-vinhomes-times-city-park-hill-phuong-tuong-mai-tp-ha-noi/ban-3-ngu-toa-p1-tang-15-nha-moi-sua-pr44971045,07/03/2026,Tin thường,False,Tài Lộc Vượng,Bán căn 3 ngủ Park Hill tòa P3 tầng trung hướng nam nhìn ra bể bơi,,13500.0,127.3585,106.0,,,3.0,2.0,,,,,,,"Hà Nội, Tương Mai, Căn hộ chung cư tại Vinhomes Times City - Park Hill",,Hà Nội,Tương Mai,Căn hộ chung cư tại Vinhomes Times City - Park Hill,Sổ đỏ/ Sổ hồng,Cơ bản,False,True,False,False,False,,True,False,True,,2026-03-08 16:38:11,can_ho_hn
45241190,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-pho-cu-loc-phuong-thanh-xuan-tp-ha-noi/chdv-hang-xom-royal-dong-tien-110tr-thang-88m-8t-18pn-full-o-tiem-nang-tang-gia-cao-33-ty-pr45241190,05/03/2026,Tin thường,False,Hữu Công,CHDV Hàng xóm ROYAL - Dòng tiền 110tr/tháng 88m*8T - 18PN full đồ - Tiềm năng tăng giá cao - 33 tỷ,,33000.0,375.0,88.0,,,18.0,18.0,,,,,,,"Hà Nội, Thanh Xuân, Chung cư mini, căn hộ dịch vụ tại phố Cự Lộc",,Hà Nội,Thanh Xuân,"Chung cư mini, căn hộ dịch vụ tại phố Cự Lộc",Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,True,False,False,,False,False,True,,2026-03-08 16:38:24,can_ho_hn
45251745,https://batdongsan.com.vn/ban-dat-xa-son-dong-hn-tp-ha-noi/ban-at-mat-uong-3-5-hoai-uc-dien-tich-140m-gia-ep-vi-tri-vip-nhat-pho-xay-gi-cung-ep-pr45251745,07/03/2026,Tin thường,False,Thanh Phan,"Bán đất mặt đường 3.5 Hoài Đức. Diện tích 140m2. Giá đẹp, vị trí víp nhất phố xây gì cũng đẹp",,,,140.0,,,,,27.5,,,,,,"Hà Nội, Sơn Đồng, Bán đất tại xã Sơn Đồng",,Hà Nội,Sơn Đồng,Bán đất tại xã Sơn Đồng,,,False,False,False,False,False,,False,False,True,,2026-03-08 16:38:39,can_ho_hn
45253883,https://batdongsan.com.vn/ban-can-ho-chung-cu-xuan-mai-complex-phuong-yen-nghia-tp-ha-noi/tien-toi-cat-lo-ban-nhanh-2-ngu-full-o-sdcc-ep-nhat-toa-chi-viec-ve-o-pr45253883,07/03/2026,Tin thường,False,Lương Thị Hằng,"CẦN TIỀN TÔI CẮT LỖ BÁN NHANH CĂN 2 NGỦ FULL ĐỒ , SDCC ĐẸP NHẤT TÒA XUÂN MAI COMPLEX CHỈ VIỆC VỀ Ở",,,,62.0,,,2.0,2.0,,,Đông - Bắc,Tây - Nam,,,"Hà Nội, Yên Nghĩa, Căn hộ chung cư tại Xuân Mai Complex",,Hà Nội,Yên Nghĩa,Căn hộ chung cư tại Xuân Mai Complex,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,False,False,,False,False,True,,2026-03-08 16:38:54,can_ho_hn
45179861,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-pho-ton-duc-thang-phuong-van-mieu-quoc-tu-giam-tp-ha-noi/mo-ban-gia-re-a2-pham-ong-tung-mau-full-that-pr45179861,25/02/2026,Tin thường,False,Trường Chủ Đầu Tư,Bán lỗ - Chung cư N1 Tôn Đức Thắng - gần Văn Miếu Quốc Tử Giám - Đống Đa,N1 Tôn Đức Thắng,1650.0,33.0,50.0,,,1.0,,,,,,,,"Hà Nội, Văn Miếu-Quốc Tử Giám, Chung cư mini, căn hộ dịch vụ tại phố Tôn Đức Thắng",,Hà Nội,Văn Miếu-Quốc Tử Giám,"Chung cư mini, căn hộ dịch vụ tại phố Tôn Đức Thắng",,,False,False,False,False,False,,False,False,True,,2026-03-08 16:39:07,can_ho_hn
